Durusdinium33176	potassium:proton antiporter activity
Durusdinium52940	Protein of unknown function (DUF667)
Durusdinium33952	Leukocyte receptor cluster member 8 homolog
Durusdinium49899	Plays a role in valine and pyrimidine metabolism. Binds fatty acyl-CoA (By similarity)
Durusdinium43505	assists the folding of proteins upon ATP hydrolysis
Durusdinium22547	Inosine-uridine preferring nucleoside hydrolase
Durusdinium19016	Acid Phosphatase
Durusdinium17466	Rhomboid family
Durusdinium50340	Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function
Durusdinium19744	glucose import
Durusdinium37048	serine-type endopeptidase inhibitor activity
Durusdinium54271	Source PGD
Durusdinium54576	-
Durusdinium49242	voltage-gated potassium channel activity
Durusdinium9059	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
Durusdinium1928	Sec63 Brl domain
Durusdinium36300	lysine N-methyltransferase activity
Durusdinium29555	ribosomal protein
Durusdinium49089	Heterogeneous nuclear ribonucleoprotein
Durusdinium18863	cysteamine dioxygenase activity
Durusdinium28804	molecular chaperone
Durusdinium41269	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Durusdinium32872	ubiquitin activating enzyme activity
Durusdinium18698	Binds specifically and directly to substrates containing either a simple or bipartite NLS motif. Promotes docking of import substrates to the nuclear envelope
Durusdinium39961	One of the components of the core complex of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. This subunit is found at the monomer-monomer interface and is required for correct PSII assembly and or dimerization
Durusdinium9037	DnaJ protein homolog
Durusdinium16577	protein serine/threonine phosphatase activity
Durusdinium46830	Belongs to the VPS29 family
Durusdinium35905	Source PGD
Durusdinium3039	Protein of unknown function (DUF559)
Durusdinium28263	alcohol dehydrogenase
Durusdinium19881	Belongs to the eukaryotic ribosomal protein eS7 family
Durusdinium23863	ABC transporter D family member 2
Durusdinium1694	Belongs to the universal ribosomal protein uL14 family
Durusdinium34843	nuclear localization sequence binding
Durusdinium26222	diphthine synthase
Durusdinium11127	K homology RNA-binding domain
Durusdinium29960	rRNA (uridine-N3-)-methyltransferase activity
Durusdinium48053	synthase
Durusdinium25952	HI0933 family
Durusdinium51572	CS domain
Durusdinium39036	Protein disulfide isomerase
Durusdinium54949	Belongs to the peptidase T1A family
Durusdinium25983	Serine/threonine phosphatases, family 2C, catalytic domain
Durusdinium19767	to Saccharomyces cerevisiae CNS1 (YBR155W)
Durusdinium23439	Beta-amylase
Durusdinium10690	protein ubiquitination
Durusdinium41962	Belongs to the protein kinase superfamily
Durusdinium36217	protein disulfide oxidoreductase activity
Durusdinium39763	metallopeptidase activity
Durusdinium35590	preribosome binding
Durusdinium23748	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Durusdinium18187	SEC14-like
Durusdinium28541	Displays ATPase and GTPase activities
Durusdinium46421	serine threonine protein kinase
Durusdinium14887	ABC transporter
Durusdinium25108	40S ribosomal protein S24
Durusdinium43394	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source
Durusdinium41324	Glutamate metabotropic receptor 3
Durusdinium54455	tpt-domain-containing protein
Durusdinium55473	Chlorophyll A-B binding protein
Durusdinium31056	Belongs to the ATPase C chain family
Durusdinium13872	Clp protease
Durusdinium40434	DNA excision repair protein ERCC-6-like protein
Durusdinium30312	ATP-dependent RNA helicase
Durusdinium30267	RNA helicase
Durusdinium30443	thiol-dependent ubiquitin-specific protease activity
Durusdinium35597	-
Durusdinium24437	Zinc carboxypeptidase
Durusdinium28923	May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex
Durusdinium41511	Methylase involved in ubiquinone menaquinone biosynthesis
Durusdinium34305	Splicing factor u2af large subunit. Source PGD
Durusdinium37343	elongation factor 3
Durusdinium35557	ThiF family
Durusdinium23457	Rab subfamily of small GTPases
Durusdinium9655	protein disulfide isomerase activity
Durusdinium41017	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium35573	von Willebrand factor (vWF) type A domain
Durusdinium54873	Casein Kinase
Durusdinium28522	phosphatase
Durusdinium36889	Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Durusdinium30224	von Willebrand factor (vWF) type A domain
Durusdinium25408	SpoU rRNA Methylase family
Durusdinium38322	Succinylglutamate desuccinylase / Aspartoacylase family
Durusdinium27693	Beta-hexosaminidase
Durusdinium31192	EF-hand domain pair
Durusdinium22798	cellular oxidant detoxification
Durusdinium42904	Ankyrin repeat
Durusdinium23385	methyltransferase activity
Durusdinium54819	protein serine/threonine kinase activity
Durusdinium26920	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
Durusdinium41295	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
Durusdinium28653	2OG-Fe(II) oxygenase superfamily
Durusdinium33713	aspartyl-tRNA aminoacylation
Durusdinium39754	COG0656 Aldo keto reductases, related to diketogulonate reductase
Durusdinium36479	Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'- phosphodiester. May act as a RNA ligase with broad substrate specificity, and may function toward other RNAs
Durusdinium22754	Bystin
Durusdinium35343	protein serine/threonine kinase activity
Durusdinium39502	Caspase domain
Durusdinium41984	helix_turn_helix, Lux Regulon
Durusdinium29820	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
Durusdinium26695	D-2-hydroxyglutarate dehydrogenase, mitochondrial. Source PGD
Durusdinium16008	Serine-threonine phosophatase 2C
Durusdinium30916	Responsible for synthesis of pseudouridine from uracil
Durusdinium17170	6phosphofructo2kinase
Durusdinium24424	adenylosuccinate synthase activity
Durusdinium35269	non-ribosomal peptide synthetase
Durusdinium824	Elongation factor G C-terminus
Durusdinium35688	demethylase 8
Durusdinium43903	Belongs to the adaptor complexes small subunit family
Durusdinium3002	UDP-glucoronosyl and UDP-glucosyl transferase
Durusdinium16929	Astacin-like metallo-endopeptidase (M12 family)
Durusdinium32315	transporter
Durusdinium21717	isocitrate dehydrogenase (NADP+) activity
Durusdinium33775	ligase regulator activity
Durusdinium39798	Sodium potassium calcium exchanger
Durusdinium32979	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium29521	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA
Durusdinium41810	peptide-aspartate beta-dioxygenase activity
Durusdinium29976	Ribosomal protein L13
Durusdinium40872	Aquarius intron-binding spliceosomal factor
Durusdinium28631	Deltex 3, E3 ubiquitin ligase
Durusdinium26156	Solute carrier family 13
Durusdinium15501	Von Willebrand factor A
Durusdinium19279	Heat shock chaperonin-binding motif.
Durusdinium37543	dynein light chain binding
Durusdinium305	Signal recognition particle receptor
Durusdinium11201	Protein kinase domain
Durusdinium37140	Ribosomal_L32e
Durusdinium29813	Vertebrate block of proliferation 1 (BOP1). Source PGD
Durusdinium30395	phosphopantothenoylcysteine decarboxylase activity
Durusdinium252	cilium assembly
Durusdinium15514	Belongs to the ATG8 family
Durusdinium29540	It is involved in the biological process described with cell redox homeostasis
Durusdinium20544	Belongs to the transthyretin family. 5-hydroxyisourate hydrolase subfamily
Durusdinium1844	Elongation factor 2. Source PGD
Durusdinium40292	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Durusdinium39465	protein KIAA0556 homolog
Durusdinium8088	Aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)
Durusdinium46072	N2227
Durusdinium37407	protein tyrosine/serine/threonine phosphatase activity
Durusdinium22585	phosphate ion transmembrane transport
Durusdinium12507	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Durusdinium17565	Histone-binding protein RBBP4 or subunit C of CAF1 complex
Durusdinium34374	thiamine-containing compound biosynthetic process
Durusdinium20336	Heterogeneous nuclear ribonucleoprotein
Durusdinium13385	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate
Durusdinium22157	Protein of unknown function (DUF3493)
Durusdinium48827	Rab subfamily of small GTPases
Durusdinium30591	E3 ubiquitin-protein ligase
Durusdinium20352	Pentacotripeptide-repeat region of PRORP
Durusdinium27405	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins
Durusdinium13580	ribosomal protein
Durusdinium28062	Binds the poly(A) tail of mRNA
Durusdinium31123	DJ-1/PfpI family
Durusdinium13270	Belongs to the nucleosome assembly protein (NAP) family
Durusdinium13314	cysteine-type peptidase activity
Durusdinium35526	Exostosin family
Durusdinium21468	Thaumatin family
Durusdinium43930	oxidation-reduction process
Durusdinium23409	Yip1 domain
Durusdinium29296	Enoyl-(Acyl carrier protein) reductase
Durusdinium18149	protein serine/threonine phosphatase activity
Durusdinium27933	alcohol dehydrogenase
Durusdinium48819	neural precursor cell proliferation
Durusdinium8007	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
Durusdinium21960	retrograde vesicle-mediated transport, Golgi to ER
Durusdinium24247	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium39649	DNA photolyase
Durusdinium5557	histone deacetylase
Durusdinium39187	belongs to the protein kinase superfamily
Durusdinium42138	tRNA methyltransferase 11-2 homolog
Durusdinium27136	PFAM fumarylacetoacetate (FAA) hydrolase
Durusdinium8094	procollagen-lysine 5-dioxygenase activity
Durusdinium36674	ABC1 family
Durusdinium128	Vacuolar protein sorting-associated protein 28
Durusdinium51818	glutathione transferase activity
Durusdinium2612	NIMA (never in mitosis gene a)-related kinase 1
Durusdinium35782	Fatty acid hydroxylase superfamily
Durusdinium30681	Sir2 family
Durusdinium38194	ABC1 family
Durusdinium38765	Nitronate monooxygenase
Durusdinium35217	protein serine/threonine kinase activity
Durusdinium47302	RNA recognition motif
Durusdinium22876	Rho (Ras homology) subfamily of Ras-like small GTPases
Durusdinium39156	PIGA (GPI anchor biosynthesis)
Durusdinium38981	protein serine/threonine kinase activity
Durusdinium2218	KIAA1430 homologue
Durusdinium40371	PP-loop family
Durusdinium11872	WD repeat-containing protein 26
Durusdinium52587	xylose isomerase activity
Durusdinium32471	catalytic domain of ctd-like phosphatases
Durusdinium36184	RQC
Durusdinium56366	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance
Durusdinium12413	non-ribosomal peptide synthetase
Durusdinium33438	nonribosomal peptide
Durusdinium19165	DNA-(apurinic or apyrimidinic site) lyase
Durusdinium26566	Belongs to the class-V pyridoxal-phosphate-dependent aminotransferase family
Durusdinium52192	Pre-mRNA-splicing factor ISY1 homolog
Durusdinium23772	cystathionine gamma-synthase activity
Durusdinium52751	Cyclin-dependent kinase inhibitor 3 (CDKN3)
Durusdinium10561	X-domain of DnaJ-containing
Durusdinium21925	phosphatidylinositol phosphatidylcholine transfer protein
Durusdinium16365	DREV methyltransferase
Durusdinium33055	Belongs to the protein kinase superfamily
Durusdinium38832	Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function
Durusdinium24955	2OG-Fe(II) oxygenase superfamily
Durusdinium32004	plastid DNA replication
Durusdinium9352	glycosylceramidase activity
Durusdinium19903	heat shock protein binding
Durusdinium33228	nucleotidase activity
Durusdinium27186	AMP-binding enzyme C-terminal domain
Durusdinium15108	3'-5' exonuclease domain-containing protein K homology domain-containing protein KH domain-containing protein
Durusdinium36281	L-threonylcarbamoyladenylate synthase
Durusdinium24975	Belongs to the cytochrome b5 family
Durusdinium35561	1,4-dihydroxy-2-naphthoate octaprenyltransferase
Durusdinium21161	sulfur dioxygenase activity
Durusdinium20056	Ubiquitin carrier protein. Source PGD
Durusdinium38165	1,3-beta-D-glucan synthase activity
Durusdinium37610	protein C1orf53 homolog
Durusdinium20220	Domain of unknown function (DUF5122) beta-propeller
Durusdinium40658	COG NOG15344 non supervised orthologous group
Durusdinium40412	Belongs to the small GTPase superfamily. Arf family
Durusdinium54228	Cell division cycle
